省辖市代码,省份,年份,焦炭产量 (万吨),原油产量 (万吨),汽油产量 (万吨),煤油产量 (万吨),柴油产量 (万吨),燃料油产量 (万吨),天然气产量 (亿立方米),发电量 (亿千瓦时),水力发电量 (亿千瓦时),火力发电量 (亿千瓦时)
640000000000,宁夏回族自治区,2019,790.75,,205.81,25.0,237.44,61.85,,1765.97,21.87,1443.87
640000000000,宁夏回族自治区,2018,736.54,,195.42,24.11,250.88,38.42,,1609.97,19.76,1367.77
640000000000,宁夏回族自治区,2017,754.74,0.7,247.59,18.7,302.22,25.92,,1380.94,15.45,1144.39
640000000000,宁夏回族自治区,2016,768.42,6.16,259.01,19.64,237.21,19.95,,1144.38,14.02,953.56
650000000000,新疆维吾尔自治区,2025,,,,,,,,,,
650000000000,新疆维吾尔自治区,2024,3792.92,3295.8,415.28,147.98,989.06,33.63,422.75,5478.02,382.46,3887.41
650000000000,新疆维吾尔自治区,2023,3390.85,3270.09,423.85,127.34,1003.17,29.43,417.27,5130.66,350.26,3866.77
650000000000,新疆维吾尔自治区,2022,2635.92,3213.34,398.84,66.17,961.49,26.77,406.68,4793.44,341.2,3667.81
650000000000,新疆维吾尔自治区,2021,2499.71,2990.39,419.17,88.42,876.74,41.24,387.59,4683.55,275.63,3675.91
650000000000,新疆维吾尔自治区,2020,2246.86,2914.8,366.6,66.82,871.68,75.5,369.83,4121.86,268.2,3262.87
650000000000,新疆维吾尔自治区,2019,1988.86,2752.08,423.24,110.61,857.19,31.7,342.03,3670.49,292.0,2829.19
650000000000,新疆维吾尔自治区,2018,1674.42,2647.39,395.17,96.34,849.09,45.32,321.85,3283.25,245.9,2572.95
650000000000,新疆维吾尔自治区,2017,1590.57,2591.82,392.49,83.57,916.21,53.36,307.04,3010.78,243.5,2368.88
650000000000,新疆维吾尔自治区,2016,1574.4,2564.86,356.48,79.0,948.91,44.84,291.21,2719.13,224.75,2219.36
