省辖市代码,省份,年份,地区生产总值 (亿元),第一产业增加值 (亿元),第二产业增加值 (亿元),第三产业增加值 (亿元),农林牧渔业增加值 (亿元),工业增加值 (亿元),建筑业增加值 (亿元),批发和零售业增加值 (亿元),交通运输、仓储和邮政业增加值 (亿元),住宿和餐饮业增加值 (亿元),金融业增加值 (亿元),房地产业增加值 (亿元),其他行业增加值 (亿元),人均地区生产总值 (元/人)
150000000000,内蒙古自治区,2025,,,,,,,,,,,,,,112181.0
150000000000,内蒙古自治区,2024,26314.6,2872.6,11604.4,11837.6,2945.9,10002.3,1641.8,2083.8,1582.7,395.5,946.6,1031.7,5684.2,110011.0
150000000000,内蒙古自治区,2023,25020.5,2644.2,11130.4,11245.8,2712.1,9658.4,1505.0,1941.6,1538.3,376.7,909.7,1046.9,5331.7,104317.0
150000000000,内蒙古自治区,2022,23795.7,2655.1,10916.8,10223.9,2711.5,9558.8,1394.6,1796.8,1358.3,305.4,881.3,999.9,4789.1,99128.0
150000000000,内蒙古自治区,2021,21584.8,2354.6,9646.5,9583.6,2388.6,8360.0,1318.5,1691.9,1291.6,345.4,845.0,967.4,4376.3,89880.0
150000000000,内蒙古自治区,2020,17623.4,2028.8,6789.7,8804.9,2060.0,5567.1,1244.0,1454.7,1157.8,296.8,800.9,955.9,4086.1,73156.0
150000000000,内蒙古自治区,2019,17479.4,1863.3,6774.0,8842.2,1893.5,5486.7,1287.3,1496.3,1209.7,365.1,847.0,930.8,3963.1,72274.0
150000000000,内蒙古自治区,2018,16252.9,1750.7,6335.4,8166.8,1779.8,5104.2,1231.2,1370.2,1138.2,330.2,847.0,844.3,3607.8,66953.0
150000000000,内蒙古自治区,2017,15009.9,1649.8,5874.2,7485.9,1677.7,4671.9,1202.3,1303.0,1081.8,318.7,809.4,766.4,3178.7,61655.0
150000000000,内蒙古自治区,2016,13879.0,1650.6,5579.8,6648.7,1677.0,4357.1,1222.7,1220.5,983.4,302.6,730.1,734.5,2651.1,56928.0
210000000000,辽宁省,2025,,,,,,,,,,,,,,80094.0
210000000000,辽宁省,2024,32612.7,2565.7,11503.3,18543.7,2661.6,9911.7,1715.7,3126.6,1785.0,575.1,1678.6,2049.1,9109.1,78236.0
210000000000,辽宁省,2023,31389.8,2642.2,11104.8,17642.9,2736.2,9615.0,1606.9,3021.3,1581.9,534.5,1493.4,2092.3,8708.3,74925.0
210000000000,辽宁省,2022,29739.7,2598.0,10924.1,16217.5,2687.9,9484.3,1519.0,2745.8,1407.9,413.7,1631.7,1927.5,7921.9,70590.0
210000000000,辽宁省,2021,28471.0,2462.1,10664.9,15344.0,2548.1,9129.7,1625.0,2524.1,1367.0,397.6,1704.1,2041.9,7133.5,67117.0
210000000000,辽宁省,2020,25839.0,2284.8,9294.3,14259.9,2370.3,7812.3,1547.3,2204.5,1228.8,310.9,1799.4,2061.8,6503.7,60570.0
210000000000,辽宁省,2019,25665.9,2178.0,9510.3,13977.6,2266.9,8058.0,1508.4,2254.8,1317.8,342.7,1836.2,2003.7,6077.5,59911.0
210000000000,辽宁省,2018,24113.5,2020.6,9049.0,13044.0,2109.6,7728.7,1433.9,2046.9,1314.7,296.3,1856.6,1842.6,5484.2,56058.0
210000000000,辽宁省,2017,22105.4,1902.3,8328.9,11874.2,2000.4,7039.0,1388.2,1988.1,1265.3,287.8,1755.9,1558.6,4822.2,51176.0
210000000000,辽宁省,2016,20832.0,1841.2,7865.7,11125.2,1945.8,6617.5,1338.0,1920.7,1208.8,284.9,1650.4,1492.5,4373.3,48083.0
220000000000,吉林省,2025,,,,,,,,,,,,,,64906.0
220000000000,吉林省,2024,14361.2,1589.8,4577.6,8193.8,1648.8,3804.9,814.0,947.2,934.8,248.9,832.3,920.3,4210.0,61689.0
220000000000,吉林省,2023,13942.7,1644.9,4426.9,7871.0,1702.1,3652.0,813.5,927.3,898.6,236.6,817.1,922.3,3973.1,59495.0
220000000000,吉林省,2022,13121.4,1689.1,4274.9,7157.4,1742.3,3503.9,814.2,824.4,745.5,195.2,816.2,843.2,3636.3,55564.0
220000000000,吉林省,2021,13431.1,1554.0,4713.7,7163.4,1604.9,3830.3,918.9,846.9,772.2,221.0,814.2,875.0,3547.8,56268.0
220000000000,吉林省,2020,12499.5,1553.0,4337.3,6609.1,1600.6,3540.0,817.4,750.6,655.0,175.6,762.9,892.0,3305.3,51576.0
220000000000,吉林省,2019,11949.4,1287.3,4162.0,6500.1,1333.4,3375.2,809.3,765.2,607.1,202.3,781.3,875.8,3199.7,48456.0
