province,year,gdp_100m,ind2_100m,ind3_100m,population_10k,urban_pop_10k,rural_pop_10k,broadband_users,mobile_internet_users,co2_total,coal_emissions,coal_share,software_revenue,digital_core_industry_share,co2_approx,green_certificate_volume,charging_infrastructure,express_delivery_revenue,high_tech_industry_share,optical_cable_length,aqi_good_rate,electricity_market_volume,green_power_trade_volume,iot_terminal_users,5g_base_stations,renewable_installation_share,pgdp,pgdp_ln,urban_rate,ind2_share,carbon_intensity,carbon_intensity_ln,co2_total_ln,carbon_per_capita,carbon_per_capita_ln,energy_digital_index,energy_digital_index_100,energy_digital_index_pca,energy_digital_index_pca_100
北京,2016.0,28438.7,4665.8,23643.2,2195.0,1904.0,291.0,475.8,3594.04,74.94444947387,15.400543086536663,0.2054927775792948,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,129561.2756264237,11.771909219072112,0.8674259681093394,0.1640651647227194,0.0026352980084838615,-5.9387590071848955,4.316747165420306,3.4143257163494303,1.227980025899126,0.0028536187716097132,0.28536187716097133,0.15451246439242858,15.451246439242858
北京,2017.0,31325.9,5049.4,26154.6,2194.0,1907.0,287.0,541.9,4639.72,70.05599553469,8.945926805969998,0.12769680507273923,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,142779.85414767548,11.869059241538038,0.8691886964448496,0.16118930341985385,0.002236360185491558,-6.102905651916261,4.24929485848077,3.193071811061531,1.1609834036336855,0.0036661555324454956,0.3666155532445496,0.19971746724261744,19.971746724261745
北京,2018.0,35161.4,5477.4,29563.5,2192.0,1909.0,283.0,638.8,3291.13,71.87771256533334,4.053992433333333,0.05640124440032021,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,160407.84671532846,11.985474892889647,0.8708941605839416,0.15577878013958488,0.002044222146027557,-6.192737930536573,4.274966238444797,3.2790927265206813,1.1875667763649826,0.0030298532534394473,0.30298532534394473,0.1599314122126466,15.99314122126466
北京,2019.0,37767.0,5812.9,31839.7,2190.0,1913.0,277.0,688.1,3289.2,71.6408603222222,2.6901588999999992,0.037550622478573756,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,172452.05479452055,12.057874533600005,0.8735159817351598,0.15408262559325892,0.0018969168936431857,-6.267525398349389,4.271665586084979,3.271272160832064,1.1851789492625244,0.003140034899008571,0.3140034899008571,0.16487131965968296,16.487131965968295
北京,2020.0,38503.6,5899.8,32495.5,2189.0,1916.0,273.0,747.3,3272.85,66.06906452222222,2.1816689179999997,0.032333267848369714,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,175895.84285061673,12.077647296851243,0.8752855185015989,0.15408262559325892,0.0017322089454692394,-6.358781105615474,4.190700627052836,3.019435056226523,1.105068943703744,0.0032634429402115047,0.32634429402115045,0.17028674985983835,17.028674985983834
北京,2021.0,44350.7,7732.2,36507.1,2189.0,1916.0,273.0,806.3,3379.41,66.98811636666666,2.1816689179999997,0.032333267848369714,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,195686.94239299378,12.184213700269073,0.8752855185015989,0.1743422313514781,0.0017322089454692394,-6.358781105615474,4.20451523599777,3.060215457590985,1.1184853244629989,0.0034643482089614275,0.34643482089614275,0.18020558086173438,18.020558086173438
北京,2022.0,45222.4,6960.4,38150.6,2184.0,1913.0,271.0,877.3,3246.36,67.8022344,2.1816689179999997,0.032333267848369714,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,195686.94239299378,12.184213700269073,0.8759157509157509,0.15408262559325892,0.0017322089454692394,-6.358781105615474,4.216595150155533,3.104497912087912,1.132851999278829,0.0035404104804218142,0.3540410480421814,0.1825252157172032,18.25252157172032
天津,2016.0,11487.0,4368.0,6950.6,1443.0,1202.0,241.0,283.9,1125.42,130.35225232666667,68.32144513333333,0.5241293795378213,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,79604.9896049896,11.284832053347715,0.832986832986833,0.3802559414990859,0.01134780641826993,-4.478730820846002,4.870240419299402,9.03342011965812,2.2009310465136225,0.0008543809754871982,0.08543809754871982,0.04414930630187666,4.4149306301876665
天津,2017.0,12468.2,4564.1,7735.2,1410.0,1178.0,232.0,339.3,1309.56,132.14512346,63.52715710000001,0.48073780883204154,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,88426.95035460993,11.389932070427667,0.8354609929078014,0.3660592547440689,0.010598572645610434,-4.547035943005546,4.883900738818152,9.371994571631205,2.237725941434029,0.001096352164852821,0.1096352164852821,0.05655757546632708,5.655757546632708
天津,2018.0,13411.1,4835.3,8400.5,1383.0,1161.0,222.0,437.9,1352.46,138.35697357750334,62.705517599999986,0.45321544681572756,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,96971.0773680405,11.48216804156007,0.8394793926247288,0.3605446234835323,0.01031660144041155,-4.57400089095531,4.929837110293336,10.004119564533864,2.3029969646166695,0.0013463705169025164,0.13463705169025164,0.06815840228579237,6.815840228579237
