Group,Coef,P-val,R2,N
Region: East,0.08028604164079536,0.7373286305498457,0.656388771500179,77
Region: Central,-0.08846661623968098,0.7599555585278628,0.7693585461711744,56
Region: West,0.35530025646357405,0.44722901680334237,-1.0251452137194352,77
Digital Base: High,-0.24185832292429912,0.03227565387812836,-0.910284169856572,105
Digital Base: Low,0.4423634164511921,0.5885298131529373,0.6761607704743582,105
Coal Dep: High,-0.2471444264483111,0.36331136406288556,0.5611489401653973,105
Coal Dep: Low,0.1753437200005158,0.37535270357504236,0.7306620892015694,105
