,Coef,Clustered_SE,Clustered_Pval,DK_SE,DK_Pval
const,2.1797054435449965,4.1341192340936646,0.5987088766156345,1.777024685782135,0.22166766255185477
energy_digital_index_100,0.11022698137730604,0.18016067313938644,0.5414702723804905,0.07627813284579972,0.1502799547948357
pgdp_ln,-0.49807084855657785,0.40808876002277505,0.22396699861035652,0.1844324181566092,0.0076227594827518175
ind2_share,1.5948129922578165,0.9076096982563915,0.08069118994578406,0.7486364899073067,0.03458603454681608
urban_rate,-2.7037016114633565,1.6530062697085817,0.10376784434034758,0.6636771707099471,7.081568381495096e-05
