Model,Coef,P-val,R2,N
Exclude Municipalities,0.032213627909339244,0.8703339935336349,0.4739845178078621,182
Driscoll-Kraay SE,0.11022698137730604,0.1502799547948357,0.7236254457870219,210
Y = ln(Carbon Per Capita),0.08022488752337985,0.674352611985253,-0.19032395142739889,210
Y = ln(Total CO2),0.1374106961977811,0.49771751241345386,0.10103756940387387,210
X = PCA Index,0.002364639690370797,0.5147834727133103,0.7236415402809144,210
