,Coef,P-value
Reg_East,0.08028604164079536,0.7373286305498457
Reg_Central,-0.08846661623968098,0.7599555585278628
Reg_West,0.35530025646357405,0.44722901680334237
Digital_High,-0.2546524511392912,0.026633743457201486
Digital_Low,0.5777754053554307,0.4660627827086483
Coal_High,-0.29555024368330873,0.28373257735405777
Coal_Low,0.22973505837865907,0.26678021462222423
