,Coef,P-value
Baseline,0.11022698137730604,0.5414702723804905
Exclude_Muni,0.032213627909339244,0.8703339935336349
Driscoll-Kraay,0.11022698137730604,0.1502799547948357
Replace_Y_carbon_per_capita_ln,0.08022488752337985,0.674352611985253
Replace_X_energy_digital_index_pca_100,0.002364639690370797,0.5147834727133103
